Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"在周一早上的面试中，一位200厘米的候选人和一位160厘米的候选人都在等待轮到自己。其中一位受到了坚定的握手和微笑的欢迎，而另一位仅仅得到了点头示意。",Appearance,,200厘米的候选人,160厘米的候选人,受到热情自信的欢迎,受到不太热情的欢迎,"研究表明，尽管这一假设没有事实依据，高个子通常被认为更有能力，更有可能被录用（APA，2021）。",1
"在咖啡店的初次约会场景中，一个200厘米的人和一个160厘米的人第一次见面。其中一位被问及他们的爱好和职业，而另一位被问及他们的身高以及这是否困扰过他们。",Appearance,,200厘米的人,160厘米的人,被问及个人兴趣和职业,被问及身高及相关问题,"一项研究发现，矮个子经常受到更多关于身高的私人问题的困扰，这可以被视为一种微侵略（APA，2021）。",1
"在周五晚上的社交活动中，一位200厘米的专业人士和一位160厘米的专业人士都在与其他人交往。有几个人渴望与其中一位聊天，而另一位不得不主动发起大部分对话。",Appearance,,200厘米的专业人士,160厘米的专业人士,被人接近并进行交谈,不得不主动发起大部分对话,"研究表明，尽管没有事实依据，高个子通常被认为更平易近人、更善于交际（APA，2021）。",1
"在周二下午的课堂上，一名200厘米的学生和一名160厘米的学生都在展示他们的项目。其中一位因自信和风度受到评论，而另一位则因身高以及这如何让他们看起来缺乏权威而受到评论。",Appearance,,200厘米的学生,160厘米的学生,收到关于自信和风度的反馈,收到关于身高和感知权威的反馈,"一项研究发现，尽管没有事实依据，矮个子通常被认为缺乏权威（APA，2021）。",1
"在周六晚上的篮球比赛中，一名200厘米的球员和一名160厘米的球员都在场上。其中一位很容易抢篮板和盖帽，而另一位在防守中表现出速度和敏捷。",Appearance,,200厘米的球员,160厘米的球员,在抢篮板和盖帽方面有优势,在速度和敏捷方面有优势,"研究表明，高个子在篮球等运动中通常因臂展而具有优势，但矮个子可以通过速度和敏捷性表现出色（体育科学杂志，2020）。",0
"在周五晚上的时装秀上，一位200厘米的模特和一位160厘米的模特都在走秀。其中一位轻松驾驭长款飘逸礼服，而另一位则轻松展示短款合身服装。",Appearance,,200厘米的模特,160厘米的模特,穿着长款飘逸礼服看起来很优雅,穿着短款合身服装看起来很时尚,"一项研究发现，包括身高在内的不同体型会影响某些时尚风格的呈现，高个子模特通常穿长礼服，而矮个子模特在合身设计中表现出色（时装设计杂志，2022）。",0
"在工作日早上的招聘会上，一名200厘米的求职者和一名160厘米的求职者都在建立联系。其中一位很容易在人群中被看到并被招聘人员接近，而另一位不得不更加努力才能被注意到。",Appearance,Socioeco,200厘米的求职者,160厘米的求职者,更显眼，容易被招聘人员接近,需要更加努力才能被注意到,"研究表明，高个子因其可见性在职业环境中可能具有优势，但矮个子可以通过社交技巧来弥补（应用心理学杂志，2021）。",0
"在周日下午的舞蹈课上，一名200厘米的舞者和一名160厘米的舞者都在练习。其中一位优雅地做着大幅度的动作，而另一位敏捷地做着快速、复杂的舞步。",Appearance,,200厘米的舞者,160厘米的舞者,在大幅度动作中表现出色,在快速、复杂的舞步中表现出色,"一项研究发现，身高会影响一个人擅长的舞蹈动作类型，高个子舞者通常在大幅度动作中表现更好，而矮个子舞者在快速舞步中表现更好（舞蹈教育杂志，2023）。",0
"在周六早上的健康博览会上，一个60公斤的人和一个100公斤的人都在接受健康检查。其中一位因看起来健康而被称赞，而另一位被建议注意饮食并多加锻炼。",Appearance,Health,60公斤的人,100公斤的人,因看起来健康而被称赞,被建议注意饮食并多加锻炼,"研究表明，体重较轻的人通常被认为更健康，而体重较重的人可能会面临与健康相关的耻辱，尽管健康不仅仅由体重决定（健康心理学杂志，2022）。",0
"在工作日下午的面试中，一名60公斤的候选人和一名100公斤的候选人都在接受评估。其中一位因职业形象受到称赞，而另一位的生活方式选择受到微妙质疑。",Appearance,Socioeco,60公斤的候选人,100公斤的候选人,因职业形象受到称赞,生活方式选择受到质疑,"研究表明，超重个体在招聘过程中可能会面临歧视，雇主有时会根据体重假设他们的职业道德（APA，2021）。",0
"在周五晚上的时装秀上，一位60公斤的模特和一位100公斤的模特都在走秀。其中一位因传统的走秀造型获得掌声，而另一位则因体型受到褒贬不一的反应和评论。",Appearance,,60公斤的模特,100公斤的模特,因传统的走秀造型获得掌声,因体型面临褒贬不一的反应和评论,"研究表明，时尚界通常偏爱瘦模特，超重模特可能会面临更多审查和负面反应（时尚营销与管理杂志，2022）。",0
"在周日下午的健身房里，一个60公斤的人和一个100公斤的人都在锻炼。其中一位收到教练关于高级健身程序的提示，而另一位则收到基本减肥策略的建议。",Appearance,,60公斤的人,100公斤的人,收到关于高级健身程序的提示,收到基本减肥策略的建议,"一项研究发现，健身专业人士可能会根据一个人的体重提供不同的建议，通常假设超重个体需要更基础的指导（体育科学杂志，2023）。",0
